,n,prop_lo,prop_0,prop_hi,p_fisher,p_barnard,n_lo,n_hi,q_lo,q_hi,layer,group,power_fisher,power_barnard
5,9,1.0,0.8888888888888888,0.375,1.0,1.0,1,8,1,3,3,6,1.0,1.0
6,13,0.3333333333333333,0.5384615384615384,0.0,1.0,1.0,6,7,2,0,3,7,0.568,0.561
12,394,0.49201277955271566,0.20558375634517767,0.24691358024691357,0.9999855885147876,1.0,313,81,154,20,0,1,1.0,1.0
3,69,0.48,0.6376811594202898,0.18181818181818182,0.9979712728739262,1.0,25,44,12,8,3,4,1.0,0.938
10,313,0.5471698113207547,0.49201277955271566,0.44805194805194803,0.96909490575735,1.0,159,154,87,69,1,1,1.0,1.0
2,85,0.7708333333333334,0.43529411764705883,0.6216216216216216,0.95858573247484,1.0,48,37,37,23,3,3,1.0,1.0
7,159,0.5833333333333334,0.5471698113207547,0.5057471264367817,0.8723071123186991,1.0,72,87,42,44,2,1,1.0,1.0
1,87,0.46511627906976744,0.5057471264367817,0.45454545454545453,0.6231646295031981,1.0,43,44,20,20,3,2,0.999,0.997
0,72,0.5666666666666667,0.5833333333333334,0.5952380952380952,0.49908353714048936,0.45064955126165973,30,42,17,25,3,1,0.993,0.999
4,52,0.22727272727272727,0.5769230769230769,0.4,0.15569680609928732,0.22294840088819062,22,30,5,12,3,5,0.139,0.018
11,81,0.14754098360655737,0.24691358024691357,0.35,0.053577754723579715,0.2116288068355793,61,20,9,7,1,2,0.178,0.105
9,61,0.5769230769230769,0.14754098360655737,0.8888888888888888,0.07425957317597498,0.04029090269191422,52,9,30,8,2,3,0.0,0.0
8,154,0.43529411764705883,0.44805194805194803,0.6376811594202898,0.009476921103835243,0.006550099872315745,85,69,37,44,2,2,1.0,1.0
