,n,prop_lo,prop_0,prop_hi,p_fisher,p_barnard,n_lo,n_hi,q_lo,q_hi,layer,group,power_fisher,power_barnard
3,24,0.6428571428571429,0.4166666666666667,0.1,0.9994896127787499,1.0,14,10,9,1,3,4,0.999,1.0
7,69,0.7941176470588235,0.5072463768115942,0.45714285714285713,0.9992756376873535,1.0,34,35,27,16,2,1,1.0,1.0
1,35,0.5263157894736842,0.45714285714285713,0.1875,0.9932920636455965,1.0,19,16,10,3,3,2,0.998,0.997
8,52,0.7142857142857143,0.46153846153846156,0.4166666666666667,0.9931168237457316,1.0,28,24,20,10,2,2,1.0,1.0
9,92,0.6818181818181818,0.5217391304347826,0.5416666666666666,0.9444598618158748,1.0,44,48,30,26,2,3,1.0,1.0
11,232,0.5217391304347826,0.603448275862069,0.44285714285714284,0.9051566164525878,1.0,92,140,48,62,1,2,1.0,1.0
5,48,0.5,0.5416666666666666,0.4230769230769231,0.7947903110606,1.0,22,26,11,11,3,6,0.972,0.95
10,121,0.5072463768115942,0.4297520661157025,0.46153846153846156,0.7521364426191459,1.0,69,52,35,24,1,1,1.0,1.0
4,44,0.35714285714285715,0.6818181818181818,0.4,0.5277806762171756,0.42734055271812793,14,30,5,12,3,5,0.397,0.071
2,28,0.375,0.7142857142857143,0.45,0.527536231884058,0.3894259786998298,8,20,3,9,3,3,0.031,0.048
0,34,0.42857142857142855,0.7941176470588235,0.8888888888888888,0.02043565934817652,0.13787772515329388,7,27,3,24,3,1,0.0,0.0
6,78,0.425,0.48717948717948717,0.6842105263157895,0.01870680160098441,0.013807909755827241,40,38,17,26,3,7,0.508,0.881
12,353,0.4297520661157025,0.6572237960339944,0.603448275862069,0.0013619669399369256,0.0012293919760796167,121,232,52,140,0,1,1.0,1.0
