,sd_theta,temp,x_init,x_step_up,n_subject,x_step_down,mean_theta,prop
0,0.1,0.6,100,25,100,25,0.5,0.001
1,0.1,0.6,100,25,200,25,0.5,0.001
2,0.1,0.6,100,25,500,25,0.5,0.003
3,0.1,0.6,100,25,1000,25,0.5,0.002
4,0.15,0.6,100,25,100,25,0.5,0.0
5,0.15,0.6,100,25,200,25,0.5,0.024
6,0.15,0.6,100,25,500,25,0.5,0.0
7,0.15,0.6,100,25,1000,25,0.5,0.022
8,0.2,0.6,100,25,100,25,0.5,0.0
9,0.2,0.6,100,25,200,25,0.5,0.075
10,0.2,0.6,100,25,500,25,0.5,0.023
11,0.2,0.6,100,25,1000,25,0.5,0.111
12,0.25,0.6,100,25,100,25,0.5,0.0
13,0.25,0.6,100,25,200,25,0.5,0.142
14,0.25,0.6,100,25,500,25,0.5,0.258
15,0.25,0.6,100,25,1000,25,0.5,0.18
16,0.3,0.6,100,25,100,25,0.5,0.01
17,0.3,0.6,100,25,200,25,0.5,0.504
18,0.3,0.6,100,25,500,25,0.5,0.31
19,0.3,0.6,100,25,1000,25,0.5,0.82
