,x_init,n_subject,x_step_down,x_step_up,mean_theta,sd_theta,temp,prop
0,50,100,25,25,0.5,0.2,0.6,0.0
1,50,200,25,25,0.5,0.2,0.6,0.0
2,50,500,25,25,0.5,0.2,0.6,0.0
3,50,1000,25,25,0.5,0.2,0.6,0.0
4,75,100,25,25,0.5,0.2,0.6,0.0
5,75,200,25,25,0.5,0.2,0.6,0.022
6,75,500,25,25,0.5,0.2,0.6,0.0
7,75,1000,25,25,0.5,0.2,0.6,0.024
8,100,100,25,25,0.5,0.2,0.6,0.0
9,100,200,25,25,0.5,0.2,0.6,0.168
10,100,500,25,25,0.5,0.2,0.6,0.017
11,100,1000,25,25,0.5,0.2,0.6,0.252
12,125,100,25,25,0.5,0.2,0.6,0.0
13,125,200,25,25,0.5,0.2,0.6,0.307
14,125,500,25,25,0.5,0.2,0.6,0.566
15,125,1000,25,25,0.5,0.2,0.6,0.577
16,150,100,25,25,0.5,0.2,0.6,0.015
17,150,200,25,25,0.5,0.2,0.6,0.429
18,150,500,25,25,0.5,0.2,0.6,0.733
19,150,1000,25,25,0.5,0.2,0.6,0.919
20,175,100,25,25,0.5,0.2,0.6,0.825
21,175,200,25,25,0.5,0.2,0.6,0.545
22,175,500,25,25,0.5,0.2,0.6,0.817
23,175,1000,25,25,0.5,0.2,0.6,0.98
24,200,100,25,25,0.5,0.2,0.6,0.994
25,200,200,25,25,0.5,0.2,0.6,0.574
26,200,500,25,25,0.5,0.2,0.6,0.855
27,200,1000,25,25,0.5,0.2,0.6,0.994
28,225,100,25,25,0.5,0.2,0.6,1.0
29,225,200,25,25,0.5,0.2,0.6,0.612
30,225,500,25,25,0.5,0.2,0.6,0.908
31,225,1000,25,25,0.5,0.2,0.6,1.0
32,250,100,25,25,0.5,0.2,0.6,1.0
33,250,200,25,25,0.5,0.2,0.6,0.648
34,250,500,25,25,0.5,0.2,0.6,0.909
35,250,1000,25,25,0.5,0.2,0.6,1.0
36,275,100,25,25,0.5,0.2,0.6,1.0
37,275,200,25,25,0.5,0.2,0.6,0.66
38,275,500,25,25,0.5,0.2,0.6,0.904
39,275,1000,25,25,0.5,0.2,0.6,0.999
40,300,100,25,25,0.5,0.2,0.6,1.0
41,300,200,25,25,0.5,0.2,0.6,1.0
42,300,500,25,25,0.5,0.2,0.6,1.0
43,300,1000,25,25,0.5,0.2,0.6,1.0
