,sd_theta,temp,x_init,x_step_up,n_subject,x_step_down,mean_theta,prop
0,0.6,1.0,100,25,200,25,0.5,0.007
1,0.6,1.0,100,25,500,25,0.5,0.073
2,0.6,1.0,100,25,1000,25,0.5,0.002
3,0.8,1.0,100,25,200,25,0.5,0.145
4,0.8,1.0,100,25,500,25,0.5,0.333
5,0.8,1.0,100,25,1000,25,0.5,0.0
6,1.0,1.0,100,25,200,25,0.5,0.207
7,1.0,1.0,100,25,500,25,0.5,0.636
8,1.0,1.0,100,25,1000,25,0.5,0.657
9,1.2,1.0,100,25,200,25,0.5,0.78
10,1.2,1.0,100,25,500,25,0.5,0.939
11,1.2,1.0,100,25,1000,25,0.5,0.901
12,1.4,1.0,100,25,200,25,0.5,0.996
13,1.4,1.0,100,25,500,25,0.5,0.878
14,1.4,1.0,100,25,1000,25,0.5,0.996
15,1.6,1.0,100,25,200,25,0.5,0.951
16,1.6,1.0,100,25,500,25,0.5,0.998
17,1.6,1.0,100,25,1000,25,0.5,1.0
18,1.8,1.0,100,25,200,25,0.5,0.963
19,1.8,1.0,100,25,500,25,0.5,1.0
20,1.8,1.0,100,25,1000,25,0.5,1.0
21,2.0,1.0,100,25,200,25,0.5,1.0
22,2.0,1.0,100,25,500,25,0.5,1.0
23,2.0,1.0,100,25,1000,25,0.5,1.0
