,sd_theta,temp,x_init,x_step_up,n_subject,x_step_down,mean_theta,prop
0,1.0,1.0,100,5,200,5,0.5,0.98
1,1.0,1.0,100,5,500,5,0.5,0.954
2,1.0,1.0,100,5,1000,5,0.5,1.0
3,1.0,1.0,100,10,200,10,0.5,0.859
4,1.0,1.0,100,10,500,10,0.5,1.0
5,1.0,1.0,100,10,1000,10,0.5,1.0
6,1.0,1.0,100,15,200,15,0.5,1.0
7,1.0,1.0,100,15,500,15,0.5,1.0
8,1.0,1.0,100,15,1000,15,0.5,0.667
9,1.0,1.0,100,20,200,20,0.5,0.35
10,1.0,1.0,100,20,500,20,0.5,0.951
11,1.0,1.0,100,20,1000,20,0.5,1.0
12,1.0,1.0,100,25,200,25,0.5,0.096
13,1.0,1.0,100,25,500,25,0.5,0.695
14,1.0,1.0,100,25,1000,25,0.5,1.0
15,1.0,1.0,100,30,200,30,0.5,0.003
16,1.0,1.0,100,30,500,30,0.5,0.146
17,1.0,1.0,100,30,1000,30,0.5,0.902
18,1.0,1.0,100,35,200,35,0.5,0.001
19,1.0,1.0,100,35,500,35,0.5,0.0
20,1.0,1.0,100,35,1000,35,0.5,0.183
21,1.0,1.0,100,40,200,40,0.5,0.0
22,1.0,1.0,100,40,500,40,0.5,0.0
23,1.0,1.0,100,40,1000,40,0.5,0.0
24,1.0,1.0,100,45,200,45,0.5,0.0
25,1.0,1.0,100,45,500,45,0.5,0.0
26,1.0,1.0,100,45,1000,45,0.5,0.0
