,sd_theta,temp,x_init,x_step_up,n_subject,x_step_down,mean_theta,prop
0,1.0,0.4,100,25,200,25,0.5,0.472
1,1.0,0.4,100,25,500,25,0.5,0.889
2,1.0,0.4,100,25,1000,25,0.5,0.998
3,1.0,0.8,100,25,200,25,0.5,0.832
4,1.0,0.8,100,25,500,25,0.5,0.236
5,1.0,0.8,100,25,1000,25,0.5,1.0
6,1.0,1.2,100,25,200,25,0.5,0.512
7,1.0,1.2,100,25,500,25,0.5,0.115
8,1.0,1.2,100,25,1000,25,0.5,0.981
9,1.0,1.6,100,25,200,25,0.5,0.101
10,1.0,1.6,100,25,500,25,0.5,0.278
11,1.0,1.6,100,25,1000,25,0.5,0.773
12,1.0,2.0,100,25,200,25,0.5,0.057
13,1.0,2.0,100,25,500,25,0.5,0.138
14,1.0,2.0,100,25,1000,25,0.5,0.416
15,1.0,2.4,100,25,200,25,0.5,0.048
16,1.0,2.4,100,25,500,25,0.5,0.075
17,1.0,2.4,100,25,1000,25,0.5,0.234
18,1.0,2.8,100,25,200,25,0.5,0.025
19,1.0,2.8,100,25,500,25,0.5,0.038
20,1.0,2.8,100,25,1000,25,0.5,0.119
21,1.0,3.2,100,25,200,25,0.5,0.021
22,1.0,3.2,100,25,500,25,0.5,0.033
23,1.0,3.2,100,25,1000,25,0.5,0.041
24,1.0,3.6,100,25,200,25,0.5,0.019
25,1.0,3.6,100,25,500,25,0.5,0.023
26,1.0,3.6,100,25,1000,25,0.5,0.006
